Silvio Adzic
Miroslav Klose
Gorka Rivera
Wes Morgan
García Calvo
Andy Reid
Santi Denia
Marlon Harewood
Johnathan
Cristiano Figueiredo
William Carvalho
Domenico Di Dio
Leon Crncic
Gianmarco Zigoni
Bastian Görrissen
Yazid Mansouri
Claus Costa
Gary McAllister
Brad Inman
Youssef Safri
Ricardo Chará
Nicolai Jörgensen
Gernot Plassnegger
Jannik Löhden
Jesús López
Manuel Cocca
Jérémy Jacquet
Ali Dembélé
Stredair Appuah
Tony Strata
Dean Gordon
Alejandro González
Juan Carlos Paredes
Christian Mawissa
Danny Livesey
Alessandro Costacurta
Murillo
Arnaud Bühler
Fabrizio Zambrella
Lluc Matas
András Gosztonyi
Andrea D'Amico
Giacomo Brichetto
José Espinal
Lago Júnior
Carlalberto Ludi
Tiziano Maggiolini
Luca Matteassi
Giuseppe Feola
Junior Diaz
David Pejicic
Thomas Meunier
Igli Tare
Lassad Nouioui
Rafael Romo
Joel Robles
Pascal Vahirua
Junior Mwanga
Joel Acosta
Pedro Obiang
Matija Popovic
Márkó Futács
Marciano Sanca
Vivaldo Semedo
Amadou Samb
Umut Bulut
Gil
Matej Vydra
Çağdaş Atan
Rafael Alkorta
Julen Lopetegui
André Thoms
Scott Malone
Fran González
Ángel Trujillo
Mamadou Wagué
Markus Esche
Gift Orban
Amedeo Calliari
Ramos Borges Emerson
Fabio Pisacane
Otto Addo
Jorginho
Ismaëlo Ganiou
Dan Petrescu
Francesco Quintavalla
Yuliwes Bellache
Alessandro Cortesi
Jérôme Polenz
Nicklas Helenius
Edgar Badia
Abel Balbo
Luis Pedro Cavanda
Sasa Janic
Thorgan Hazard
Warren Cummings
Maxwell Acosty
Matthew Lowton
Demetrio Cutrupi
Simone Guerri
Godfried Aduobe
Fabrizio Di Bella
Pasquale Porcaro
Matteo Berretti
Michael Hefele
Luca Fiuzzi
Giacomo Pencelli
Juan Martín Turchi
Stefano Romano
Leandro Cabrera
Sebastián Coates
Antonino Ragusa
Christian Müller
Stefan Lexa
Fabio Coltorti
Barry Ferguson
Stig Inge Björnebye
Alex Brunner
Antonio Marino
Donovan Maury
Daniel Fernandes
Nicola Diliso
Alexander Farnerud
Daniele Fortunato
Marco Verratti
Emanuele Testardi
Leonardo
Tony Warner
Jacques Songo'o
Saná Fernandes
Fabrizio Lasagna
François Mughe
Massimiliano Benassi
Sébastien Corchia
Luca Ceppitelli
Michele Boldrini
Pietro De Giorgio
Stéphane Guivarc'h
Andrea Lisuzzo
Yoann Wachter
Raffaele Sorriso
José Antonio de la Rosa
Antoine Joujou
Andrija Delibasic
Vladimir Ivic
Antoine Nuss
Franci Bouebari
Gregory Douard
Sasa Ilic
Antonio Junior Vacca
Fabrizio Grillo
Ivica Iliev
Romulo Togni
Léo Rouillé
Louis Poggi
Gaëtan Belaud
Terrence Boyd
Jérôme Deplanche
Callum McFarlane
Hámilton Ricard
Jérémy Hélan
Alexander Stolz
Gotoku Sakai
Jusu Karvonen
Giuseppe Aquino
Adriano Marzeglia
Chris Smalling
Dean Parrett
Alessandro Marchi
Artjoms Rudnevs
Mix Diskerud
Tongo Doumbia
Wahbi Khazri
Bastian Müller
Nico Frommer
Colin Hendry
Salaheddine Bassir
Nicolai Lorenzoni
Campanharo
Rafik Bouderbal
Roberto Di Matteo
Sérgio Leite
Henrique Almeida
Shaun MacDonald
Darren Dunning
Tyrone Loran
Jason Gavin
Danny Wilson
Dave Beasant
David Carney
Fallou Fall
Luis Advíncula
Etta Eyong
Sven Hoffmeister
Rafael Cabral
Fredi Bobic
Stephen Hughes
Guillermo Amor
Bekim Kastrati
Mickaël Madar
Tommy Mooney
Niall Quinn
Michail Antonio
Mauro Boerchio
Stefan Oakes
Hendrik Bonmann
Jordy Clasie
Guillermo Burdisso
Unai Medina
Martin Reeves
Brian Silva
Matthias Hamrol
John Robinson
Alessandro Iacobucci
Philipp Bönig
Lukman Haruna
Alessandro Malomo
Jon Stevenson
Raphael Holzhauser
Branko Strupar
Stefan Ristovski
Yaya Fofana
Lyle Taylor
André Felipe
Gabriele Goretti
Théo Defourny
Bruno Soares
Pablo Muñoz
Lee Tomlin
Marco Filippini
Bram Nuytinck
Luiz Gustavo
Antonio Scrò
Steve Morison
Nicolas Fabiano
Shadi Ghosheh
Alan Zattin
Brice Morin
Konstantinos Manolas
David Ginola
Almir Kasumovic
Diego Seoane
Gedo
Filip Orsula
Michal Hrivnak
Francis Bugri
Paul Gallagher
Matt Jansen
Uwe Hünemeier
Mehmet Akgün
David Owens
Abdelhakim Omrani
Marius Ebbers
Stan Berkani
Jamie Milligan
Nolan Bonte
Mahamadou Diawara
Moussa Soumano
Johan Martial
Hakan Yakin
Romain Grange
Fernando
Neuton
Alisson
Mamadou Diakhon
Markus Kullig
Antonio German
Ciro Immobile
Fran González
Tammo Harder
Aleksander Knavs
Fabio Sciacca
Rubén Quintanilla
Carlo Ferrario
Michael Madsen
Amadou Soukouna
Lucas Castro
Guido Pizarro
Peter Neustädter
Vladimir But
Tomoaki Makino
Enso González
Alban Sabah
Mauricio Pineda
Andrea Arrigoni
Germán García
Assane Diao
Jacques Zoua
Jérémy Cordoval
Amin Tighazoui
Florian Kainz
Samuel Inkoom
Anthony Ouasfane
Mamadu Silla
Jeffrey Gouweleeuw
Marcos Peña
Mike Williamson
Luismi Quirant
Mattia Ferraro
Leonardo Terigi
Markus Schuler
Gary Charles
Enzo Zidane
Abdoulaye Ba
Titi Camara
Kevin Stöger
Mike Clegg
Seyed Ali Mousavi
Sebastiano Rossi
Marcel Sabitzer
Conor Casey
Stefan Savic
Andrei Agius
Laurent Charvet
Robert Nikolic
Alf-Inge Haaland
Okan Aydin
Leart Paçarada
Stuart Ripley
Andrea Dacourt
Manuel Friedrich
Fraser Fyvie
Amiran Sanaia
Hamdan Al Kamali
Shio Fukuda
Samuel Ipoua
Ikechi Anya
Andriy Voronin
Facundo Bertoglio
Livio Nabab
Amidou Doumbouya
